Feature,Score,P-value
Tenure Months,997.2680104991312,7.99905796063559e-205
Internet Service_Fiber optic,738.0460424544476,1.2007837916257311e-154
Contract_Two year,707.9192540580779,1.0481341179218971e-148
Payment Method_Electronic check,706.1950282817295,2.2968899851052175e-148
Dependents,463.58235422538945,1.2343649859715789e-99
Device Protection_No internet service,385.6985884848515,1.2005035459925741e-83
Streaming Movies_No internet service,385.6985884848515,1.2005035459925741e-83
Internet Service_No,385.6985884848515,1.2005035459925741e-83
Streaming TV_No internet service,385.6985884848515,1.2005035459925741e-83
Tech Support_No internet service,385.6985884848515,1.2005035459925741e-83
Online Security_No internet service,385.6985884848515,1.2005035459925741e-83
Online Backup_No internet service,385.6985884848515,1.2005035459925741e-83
Tenure_Group_5-6yr,377.2194556308737,6.768818955771526e-82
Total Charges,288.2789610222117,2.1272116132403844e-63
Monthly Charges,273.4637042077136,2.7066456068878257e-60
Avg_Monthly_Charge,273.2999335234484,2.9294686743049694e-60
Paperless Billing,268.9852180928086,2.356554320585064e-59
Contract_One year,229.90574088120178,3.986595493852669e-51
Online Security_Yes,212.66619940319887,1.7632588168537773e-47
Tech Support_Yes,196.25540507248175,5.322253267504916e-44
Senior Citizen,164.04142445614104,3.839860055774652e-37
Partner,163.06003598398877,6.220731129641078e-37
Payment Method_Credit card (automatic),129.33097463289684,1.0415433633620134e-29
CLTV,116.28325229236671,6.679131381699108e-27
Tenure_Group_4-5yr,71.7209302912265,2.986961270614639e-17
Payment Method_Mailed check,59.68654545516675,1.266730548546129e-14
Online Backup_Yes,47.96295545820452,4.727291732054918e-12
Device Protection_Yes,30.954780439130214,2.7381602498191357e-08
Streaming TV_Yes,28.261123665052395,1.0926020701636036e-07
Streaming Movies_Yes,26.628665202834036,2.532995278909525e-07
Tenure_Group_3-4yr,24.787247152443943,6.554156224083649e-07
Tenure_Group_2-3yr,11.646784881818567,0.0006467585388055123
Multiple Lines_Yes,11.341439011576513,0.000762029131511252
City_Wrightwood,11.093899709901526,0.0008705783274637883
City_Fort Jones,11.093899709901526,0.0008705783274637883
City_Maricopa,11.093899709901526,0.0008705783274637883
City_Johannesburg,11.093899709901526,0.0008705783274637883
City_Truckee,11.093899709901526,0.0008705783274637883
City_South Lake Tahoe,11.093899709901526,0.0008705783274637883
City_Smith River,11.093899709901526,0.0008705783274637883
City_Twain,11.093899709901526,0.0008705783274637883
City_Boulder Creek,11.093899709901526,0.0008705783274637883
City_Eldridge,11.093899709901526,0.0008705783274637883
City_Riverbank,11.093899709901526,0.0008705783274637883
City_Tipton,11.093899709901526,0.0008705783274637883
City_La Puente,9.714306659079025,0.001835752008758617
City_Bakersfield,7.484239544151515,0.006239730505746888
City_San Dimas,7.341658856756003,0.006753772120704113
City_Indian Wells,7.341658856756003,0.006753772120704113
City_Panorama City,7.341658856756003,0.006753772120704113
City_Seeley,7.341658856756003,0.006753772120704113
City_Apple Valley,5.7551718829763985,0.016466028122522697
City_El Monte,5.7551718829763985,0.016466028122522697
City_Daly City,5.315936519243031,0.021160154426351236
City_Lompoc,5.315936519243031,0.021160154426351236
City_Amador City,4.823710896024772,0.028103338592613675
City_Lewiston,4.823710896024772,0.028103338592613675
City_Ludlow,4.823710896024772,0.028103338592613675
City_Montague,4.823710896024772,0.028103338592613675
City_Miranda,4.823710896024772,0.028103338592613675
City_Marina,4.823710896024772,0.028103338592613675
City_Keene,4.823710896024772,0.028103338592613675
City_Jackson,4.823710896024772,0.028103338592613675
City_Pearblossom,4.823710896024772,0.028103338592613675
City_Orangevale,4.823710896024772,0.028103338592613675
City_Paskenta,4.823710896024772,0.028103338592613675
City_Old Station,4.823710896024772,0.028103338592613675
City_Lake City,4.823710896024772,0.028103338592613675
City_Hayfork,4.823710896024772,0.028103338592613675
City_Wheatland,4.823710896024772,0.028103338592613675
City_Sausalito,4.823710896024772,0.028103338592613675
City_Corona Del Mar,4.823710896024772,0.028103338592613675
City_Fellows,4.823710896024772,0.028103338592613675
City_Pope Valley,4.823710896024772,0.028103338592613675
City_Grimes,4.823710896024772,0.028103338592613675
City_Grizzly Flats,4.823710896024772,0.028103338592613675
City_Avenal,4.823710896024772,0.028103338592613675
City_Piru,4.823710896024772,0.028103338592613675
City_Quincy,4.823710896024772,0.028103338592613675
City_Rio Dell,4.823710896024772,0.028103338592613675
City_Exeter,4.823710896024772,0.028103338592613675
City_Running Springs,4.823710896024772,0.028103338592613675
City_Delhi,4.823710896024772,0.028103338592613675
City_Comptche,4.823710896024772,0.028103338592613675
City_Sierra City,4.823710896024772,0.028103338592613675
City_South Dos Palos,4.823710896024772,0.028103338592613675
City_Alpaugh,4.823710896024772,0.028103338592613675
City_Byron,4.823710896024772,0.028103338592613675
City_Bodfish,4.823710896024772,0.028103338592613675
City_Dinuba,4.823710896024772,0.028103338592613675
City_Summerland,4.823710896024772,0.028103338592613675
City_Bridgeville,4.823710896024772,0.028103338592613675
City_Biola,4.823710896024772,0.028103338592613675
City_Templeton,4.823710896024772,0.028103338592613675
City_Santa Rosa,4.6013353157002745,0.03198117286433222
City_Santa Maria,4.34359378595524,0.0371843949661511
City_Modesto,3.841756625772487,0.05003050359209593
