Feature,Importance
Contract_Two year,0.24757438480458985
Tenure Months,0.16000089449801516
Contract_One year,0.14201763672286546
Dependents,0.094889298407841
Payment Method_Electronic check,0.08786322907542424
Internet Service_Fiber optic,0.0848825693410211
Monthly Charges,0.04032522492821731
Online Security_Yes,0.03422089114036244
Tech Support_Yes,0.027218971140619212
Total Charges,0.0201689567015063
Avg_Monthly_Charge,0.0179308154969387
Internet Service_No,0.015910961512713533
Paperless Billing,0.014798669314749161
Device Protection_No internet service,0.0051438587914156625
Tech Support_No internet service,0.003408876297967344
