Column,Data Type,Non-Null Count,Null Count,Null %,Unique Values,Sample Values
CustomerID,str,7043,0,0.0,7043,"['3668-QPYBK', '9237-HQITU', '9305-CDSKC']"
Count,int64,7043,0,0.0,1,[1]
Country,str,7043,0,0.0,1,['United States']
State,str,7043,0,0.0,1,['California']
City,str,7043,0,0.0,1129,"['Los Angeles', 'Beverly Hills', 'Huntington Park']"
Zip Code,int64,7043,0,0.0,1652,"[90003, 90005, 90006]"
Lat Long,str,7043,0,0.0,1652,"['33.964131, -118.272783', '34.059281, -118.30742', '34.048013, -118.293953']"
Latitude,float64,7043,0,0.0,1652,"[33.964131, 34.059281, 34.048013]"
Longitude,float64,7043,0,0.0,1651,"[-118.272783, -118.30742, -118.293953]"
Gender,str,7043,0,0.0,2,"['Male', 'Female']"
Senior Citizen,str,7043,0,0.0,2,"['No', 'Yes']"
Partner,str,7043,0,0.0,2,"['No', 'Yes']"
Dependents,str,7043,0,0.0,2,"['No', 'Yes']"
Tenure Months,int64,7043,0,0.0,73,"[2, 8, 28]"
Phone Service,str,7043,0,0.0,2,"['Yes', 'No']"
Multiple Lines,str,7043,0,0.0,3,"['No', 'Yes', 'No phone service']"
Internet Service,str,7043,0,0.0,3,"['DSL', 'Fiber optic', 'No']"
Online Security,str,7043,0,0.0,3,"['Yes', 'No', 'No internet service']"
Online Backup,str,7043,0,0.0,3,"['Yes', 'No', 'No internet service']"
Device Protection,str,7043,0,0.0,3,"['No', 'Yes', 'No internet service']"
Tech Support,str,7043,0,0.0,3,"['No', 'Yes', 'No internet service']"
Streaming TV,str,7043,0,0.0,3,"['No', 'Yes', 'No internet service']"
Streaming Movies,str,7043,0,0.0,3,"['No', 'Yes', 'No internet service']"
Contract,str,7043,0,0.0,3,"['Month-to-month', 'Two year', 'One year']"
Paperless Billing,str,7043,0,0.0,2,"['Yes', 'No']"
Payment Method,str,7043,0,0.0,4,"['Mailed check', 'Electronic check', 'Bank transfer (automatic)']"
Monthly Charges,float64,7043,0,0.0,1585,"[53.85, 70.7, 99.65]"
Total Charges,str,7043,0,0.0,6531,"['108.15', '151.65', '820.5']"
Churn Label,str,7043,0,0.0,2,"['Yes', 'No']"
Churn Value,int64,7043,0,0.0,2,"[1, 0]"
Churn Score,int64,7043,0,0.0,85,"[86, 67, 84]"
CLTV,int64,7043,0,0.0,3438,"[3239, 2701, 5372]"
Churn Reason,str,1869,5174,73.4630129206304,20,"['Competitor made better offer', 'Moved', 'Competitor had better devices']"
